word,frequency
sedang,14
sgx,14
pasal,14
kallang,14
pertama,14
kehidupan,14
turun,14
semakin,14
tq,14
max,14
jurong,14
oleh,14
singa,14
instagram,14
isi,14
cuti,14
syukur,14
sige,14
korang,14
qui,14
hehehe,14
gina,14
bodoh,14
il,14
ramadan,14
tanya,14
gk,13
brasil,13
15kg,13
govt,13
mah,13
pulang,13
barang,13
rn,13
alam,13
lmao,13
pr,13
auf,13
pagi2,13
wla,13
maaf,13
mantap,13
tolong,13
wkwk,13
youll,13
bakit,13
trending,13
km,13
nasa,13
whatsapp,13
asked,13
penting,13
emang,13
indah,13
jimin,13
ckp,13
taman,13
vibe,13
keluar,13
bts,13
00kg,13
4th,13
kot,13
irl,13
chinatown,13
sering,13
kuat,13
layan,13
tsla,13
niya,13
mari,13
walaupun,13
korea,13
maging,13
namanya,13
terlalu,13
liat,13
suara,13
masak,13
pontian,13
gotta,13
japon,13
kawan,13
baju,13
mubarak,13
grabe,13
bos,13
xiaozhan,13
bca,13
nicht,12
rasanya,12
timeline,12
changed,12
created,12
35kg,12
40kg,12
begitu,12
mbak,12
kg,12
kid,12
wtf,12
kalah,12
roti,12
tik,12
pwede,12
madrid,12
delivered,12
sgd1,12
ki,12
kerajaan,12
jika,12
bayar,12
jumaat,12
seorang,12
lbh,12
kenal,12
duduk,12
problema,12
usa,12
facebook,12
mulai,12
kesa,12
kepala,12
jem,12
sahaja,12
jugak,12
singapur,12
demam,12
dw,12
gila,12
taiwan,12
schon,12
senang,12
cb,12
amu,12
akhirnya,12
beb,12
sempat,12
nikmat,12
malay,12
kota,12
papano,12
eso,12
btc,12
expected,12
woah,12
dahil,12
65kg,12
lohahhuat,12
buddha,12
troubled,12
jtc,12
xde,11
arrived,11
sentosa,11
greatest,11
kd,11
idk,11
iskandar,11
laa,11
expecting,11
yishun,11
yay,11
xiao,11
korean,11
muna,11
percaya,11
jaga,11
letting,11
ww,11
ung,11
mundo,11
shazam,11
gi,11
kah,11
sementara,11
ver,11
sebagai,11
haji,11
bilang,11
nonton,11
walau,11
bawa,11
komen,11
released,11
moga,11
dipermudahkan,11
tiada,11
ayaw,11
buka,11
politik,11
disini,11
kereta,11
pc,11
7am,11
apapun,11
ou,11
ji,11
patung,11
55kg,11
bahwa,11
deh,11
sehr,11
undi,11
perut,11
imo,11
jun,11
passed,11
guro,11
muslim,11
sabar,11
lemak,11
hmm,11
beda,11
indo,11
diam,11
minum,11
thailand,11
mohon,11
european,11
buddhist,11
buildmart,11
retweet,10
ek,10
60kg,10
70kg,10
pfp,10
kevin,10
weh,10
rm,10
kemarin,10
sesuatu,10
2x,10
tunggu,10
evo,10
usb,10
reminds,10
takkan,10
doang,10
kecewa,10
soalnya,10
cuz,10
bullshit,10
3rd,10
rin,10
tangan,10
co,10
cepat,10
abc,10
isso,10
gran,10
sim,10
bi,10
va,10
kira,10
10kg,10
muka,10
kecil,10
israel,10
cny,10
telah,10
indian,10
batu,10
tentang,10
hantar,10
bb,10
dengar,10
tetap,10
depends,10
ayam,10
sobrang,10
marlion,10
melihat,10
larkin,10
wie,10
nata,10
compared,10
mini,10
75kg,10
wkwkwkwk,10
cheaper,10
8am,10
abi,10
lampu,10
hitting,10
5m,10
bawah,10
juta,10
ny,10
senja,10
suruh,10
tim,10
katong,10
fomo,10
jom,10
bahagia,10
nyata,10
ukrainian,10
kapoy,10
aman,10
ila,10
thn,10
bangsa,10
sarapan,10
spotify,10
japanese,10
setengah,10
tutup,10
tdk,10
sukses,10
nybeyondthestars,10
3d,9
email,9
looked,9
lebat,9
gd,9
awww,9
180cm,9
oder,9
nfts,9
guided,9
hujung,9
sibuk,9
managed,9
hoping,9
selain,9
hahahahahaha,9
checking,9
perempuan,9
realised,9
hrs,9
terbaik,9
esok,9
gagal,9
abt,9
ein,9
nung,9
apps,9
oppa,9
surprised,9
mv,9
northpoint,9
shangri,9
pilih,9
bf,9
failed,9
todo,9
gracias,9
yaa,9
td,9
stronger,9
biru,9
sembang,9
peluang,9
berapa,9
ao,9
pd,9
anong,9
dati,9
umno,9
haram,9
laki,9
merasa,9
cuba,9
ilmu,9
harap,9
isip,9
ulit,9
alot,9
akon,9
eine,9
ck,9
akhirat,9
mit,9
30kg,9
vp,9
oo,9
kalu,9
bata,9
kene,9
loh,9
abis,9
amo,9
planning,9
daripada,9
ikea,9
jumlah,9
sebenarnya,9
meninggal,9
lelaki,9
bringing,9
messi,9
byk,9
marah,9
kailangan,9
sebelah,9
ipad,9
mc,9
aww,9
zhong,9
rotitiam,9
menangis,9
ali,9
hang,9
taipei,9
fikir,9
lahir,9
atleast,9
terbang,9
lima,9
hais,9
pukul,9
trooprz,9
insyaallah,9
celebrating,9
saling,9
bible,9
jg,9
3m,8
maior,8
nasib,8
reached,8
lewat,8
samsung,8
multi,8
manis,8
james,8
mandi,8
tgif,8
bhi,8
azadi,8
sy,8
au,8
zu,8
reported,8
minha,8
british,8
aneh,8
december,8
penat,8
jungkook,8
vaccinated,8
seafood,8
huat,8
angin,8
lihat,8
melaka,8
kk,8
laju,8
aqui,8
tl,8
hamba,8
tn,8
foi,8
esse,8
acc,8
sumpah,8
80kg,8
laut,8
elok,8
airlines,8
murah,8
vel,8
sejak,8
45kg,8
thai,8
dtg,8
opened,8
merah,8
singaporeans,8
required,8
bergerak,8
ibu,8
cc,8
jai,8
agak,8
berjalan,8
50kg,8
puas,8
mulut,8
ofc,8
nada,8
uy,8
september,8
akun,8
hasil,8
pati,8
trs,8
panahon,8
sehari,8
pasar,8
hirap,8
galing,8
johore,8
untung,8
amik,8
inna,8
bantu,8
bestie,8
solat,8
hdb,8
realise,8
asap,8
ngl,8
teh,8
palangga,8
malas,8
malu,8
sus,8
bme280,8
terakhir,8
kangen,8
nz,8
sampah,8
bumi,8
labot,8
utang,8
naging,8
makin,8
elon,8
impressed,8
kio,8
panas,8
abg,8
igstory,8
pe,8
minyak,8
jual,8
arab,8
letak,8
selepas,8
setuju,8
syg,8
tuesday,8
shared,8
tahan,8
temasek,8
