,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
1538,38,2022-01-17 23:30:41+00:00,não amei o final de #yellowjackets. a série começa tão bem e vai perdendo fôlego…,não amei o final de a série começa tão bem e vai perdendo fôlego,0.5714285714285714
1559,59,2022-01-17 23:17:28+00:00,"Saya sebagai fans #Scream :-
1. Scream 1
2. Scream 4
3. Scream 2
4. Scream 3 

no 5. punya scream baru lagi kat wayang belum tengok . 🥲mggu nie keluar 🤩..",saya sebagai fans 1 scream 1 2 scream 4 3 scream 2 4 scream 3 no 5 punya scream baru lagi kat wayang belum tengok mggu nie keluar,0.5789473684210527
1564,64,2022-01-17 23:13:24+00:00,"@investidorIn Fala inglês, esse ETF é relativamente recente... Pra mim é no brainer.. Fácil, prático e seguro. Incrível como não existia antes no Brasil. Que bom q agora existe!",fala inglês esse etf é relativamente recente pra mim é no brainer fácil prático e seguro incrível como não existia antes no brasil que bom q agora existe,0.5357142857142857
1632,32,2022-01-18 23:32:20+00:00,Just posted a photo @ O.BBa Bukit Timah https://t.co/4vZoDyjU0I,just posted a photo obba bukit timah,0.5714285714285714
1634,34,2022-01-18 23:29:32+00:00,"Morning u olssssss...
Assalamualaikum semua
Apa habaqqqqqqqqqq...",morning u olssssss assalamualaikum semua apa habaqqqqqqqqqq,0.5714285714285714
1655,55,2022-01-18 23:04:14+00:00,"Si nekat
Si maksa
Si bolang 
#latepost #jalanjalan #celotehsijani #singapore #singlelady #2020 #mytripmyadventure @ Haji Lane Bugis https://t.co/jD3AlWJN5A",si nekat si maksa si bolang haji lane bugis,0.5555555555555556
1664,64,2022-01-18 22:55:23+00:00,"@dewyewy2 Rita Daniels, seorang nenek artis porno umur 69",rita daniels seorang nenek artis porno umur 69,0.5714285714285714
1665,65,2022-01-18 22:54:08+00:00,"""原谅我以前打扰你了，以后不会了，就当风没
吹过，你没来过，我没爱过，关于喜欢你这件
事，就当做是我闹的一个笑话吧"" @ Sungei Buloh Wetland Reserve https://t.co/32kElWR6OR",sungei buloh wetland reserve,0.5
1693,93,2022-01-18 21:50:18+00:00,Tuchel punye bangang ni sebab masih percaya dekat odoi ziyech dengan lukaku. Alonso tu kata la takde choice. Nak sub kan player minit 80. Main struggle dari 1st half lagi.,tuchel punye bangang ni sebab masih percaya dekat odoi ziyech dengan lukaku alonso tu kata la takde choice nak sub kan player minit 80 main struggle dari 1st half lagi,0.5
1740,40,2022-01-19 23:12:52+00:00,wowww easy,wowww easy,0.5
1750,50,2022-01-19 22:57:04+00:00,@FPLGrinch Griiiiinch .. result,griiiiinch result,0.5
1771,71,2022-01-19 22:36:00+00:00,"Page 19 of 365

Semangat...
Walau dia masih ada di fikiranmu...
Sibukkan dirimu dengan cara lain agar ada hal lain dalam fikiranmu..",page 19 of 365 semangat walau dia masih ada di fikiranmu sibukkan dirimu dengan cara lain agar ada hal lain dalam fikiranmu,0.55
1803,3,2022-01-20 23:55:05+00:00,"NFTをTwitterアイコンに出来る機能リリースされるみたい 僕のアイコンも自分の保有するNFTのスクショですがウォレット接続して正式に登録できる様に NFTを自慢する要は金持ち自慢機能

人気のBoard Ape Yacht Clubの過去最高額はUSD27Millionらしい USのセレブがこぞって購入して話題になってる",nfttwitter nft nft board ape yacht clubusd27million us,0.5714285714285714
1832,32,2022-01-20 23:37:18+00:00,"Di ko alam pero mas na pressure pa tlga ako sa de/mas/h ahahaha nakaka pressure yung ka level niyo lang. Pero yung sa higante naaliw ako kasi na pressure sila sa maliit ahhaha.

BAZINGA 4M VIEWS
@SB19Official #SB19
#SB19Bazinga4MViews 

Stream #Bazinga_SB19",di ko alam pero mas na pressure pa tlga ako sa demash ahahaha nakaka pressure yung ka level niyo lang pero yung sa higante naaliw ako kasi na pressure sila sa maliit ahhaha bazinga 4m views stream,0.5833333333333334
1834,34,2022-01-20 23:34:55+00:00,"BBHTS Be like: yung aso at pusa nagbabardagulan na naman ahahahah.

BAZINGA 4M VIEWS
@SB19Official #SB19
#SB19Bazinga4MViews 

Stream #Bazinga_SB19",bbhts be like yung aso at pusa nagbabardagulan na naman ahahahah bazinga 4m views stream,0.5
1845,45,2022-01-20 23:27:12+00:00,"#6/#2022 #morningswim #fromthetop #circularpool 

#Justkeepswimming @ Fairmont Singapore https://t.co/my1odg5iuY",fairmont singapore,0.5
1881,81,2022-01-20 23:06:31+00:00,"Anong meron sa Pito? Ang numero syete kasi nagdadala ng swerte m, nagdadala din ng hindi. 

BAZINGA ON BBHTS
@SB19Official #SB19

Listen to #Bazinga_SB19",anong meron sa pito ang numero syete kasi nagdadala ng swerte m nagdadala din ng hindi bazinga on bbhts listen to,0.5238095238095238
1882,82,2022-01-20 23:04:51+00:00,"Kabataan dati naghahabol da maling tao, ngayon naghahabol na ng charts.

BAZINGA ON BBHTS
@SB19Official #SB19

Listen to #Bazinga_SB19",kabataan dati naghahabol da maling tao ngayon naghahabol na ng charts bazinga on bbhts listen to,0.5
1894,94,2022-01-20 22:59:00+00:00,Paggamot po my hepa.,paggamot po my hepa,0.5
1931,31,2022-01-21 23:26:55+00:00,#9/#2022 #view #sunrise #clouds #sky @ Naumi Hotels https://t.co/I6wHOdm6BG,naumi hotels,0.5
1960,60,2022-01-21 22:46:31+00:00,Moga dipermudahkan semua yang turun for #TangkapAzamBaki,moga dipermudahkan semua yang turun for,0.5
1967,67,2022-01-21 22:00:24+00:00,Acaba de publicar una foto en The Metaverse Vietnam https://t.co/IofTnOEhYK,acaba de publicar una foto en the metaverse vietnam,0.5555555555555556
1994,94,2022-01-21 19:08:20+00:00,2022 youre rlly something huh… https://t.co/1LBTiokTlV,2022 youre rlly something huh,0.5
2021,21,2022-01-22 23:40:47+00:00,Just posted a photo @ Depan Sekolah Anak https://t.co/pPRTK9IdAs,just posted a photo depan sekolah anak,0.5714285714285714
2031,31,2022-01-22 23:28:42+00:00,"Jai bhim💙💙...
#AnbumaniRamadoss https://t.co/kxckPAgkpy",jai bhim,0.5
