,date,rawContent,cleaned_content
44,2022-09-26 13:20:25+00:00,@zupew4kj Best chance to cuddle mommy!!! Take it big brother!!!,best chance cuddle mommy take it big brother
45,2022-09-26 13:20:25+00:00,@blockchainchick Maybe he is in Ukraine most safest place on earth,maybe he is ukraine most safest place earth
46,2022-09-26 13:20:24+00:00,May Allah ease everything of us,may allah ease everything us
47,2022-09-26 13:20:24+00:00,i like some people only know me from online so they naturally use my second name,i like some people only know me online so they naturally use my second name
48,2022-09-26 13:20:23+00:00,"@CHIEtizensOFC Family

#ChieFilomeno",family
49,2022-09-26 13:20:22+00:00,@FridaGhitis Wow Iran is on fire,wow iran is fire
50,2022-09-26 13:20:21+00:00,先週久しぶりにヨーロッパに行って、周りの友人たちからの言動からESGについて真面目に考えてて、変化を感じた。正直経済成長している最中の国では優先順位は低いと思う,esg
51,2022-09-26 13:20:20+00:00,Public accusations of #cyberespionage at a research university appear to be in response to Washington ramping up its own warnings to private industry about China's #hackers. #cybersecurity https://t.co/AkKwPmuPF0,public accusations at research university appear be response washington ramping up its own warnings private industry about chinas
52,2022-09-26 13:20:19+00:00,@NancyDaffodils @Ash_Chennaite 😂😂😂oh ok da.Ya I remember namma story maraka kudiya story a.She blocked me during BB5 for no reason da.,oh ok da ya i remember namma story maraka kudiya story she blocked me during bb5 no reason da
53,2022-09-26 13:20:17+00:00,@torfsrik Dan moet je eens lezen wat ze de pvda noemen.,dan moet je eens lezen wat ze de pvda noemen
54,2022-09-26 13:20:16+00:00,"pls check ASAP..
@pnbindia https://t.co/28wUX4AvjD",pls check asap
55,2022-09-26 13:20:15+00:00,@anrs 有病要过来治。,
56,2022-09-26 13:20:15+00:00,"@CHIEtizensOFC Health

#ChieFilomeno",health
57,2022-09-26 13:20:15+00:00,🙋‍♀️,
58,2022-09-26 13:20:12+00:00,@ineorino @FWBESS Beban &amp; tuntutan,beban amp tuntutan
59,2022-09-26 13:20:08+00:00,@melissasbrain Crash is a selective mute aroace. I love him.,crash is selective mute aroace i love him
60,2022-09-26 13:20:06+00:00,"when you’re younger filled with so much enthusiasm, you &amp; your friends would always share dreams &amp; wishes. then, you start growing up &amp; when reality slaps, you notice majority starts withering out to being average. nah, not me. fuck that. i stay true to my aspirations.",when you re younger filled with so much enthusiasm you amp your friends would always share dreams amp wishes then you start growing up amp when reality slaps you notice majority starts withering out being average nah not me fuck that i stay true my aspirations
61,2022-09-26 13:20:06+00:00,@Dikkussu @abelityMY Proved my point. Just keep it within yourselves ok. Let me lose and learn in peace.,proved my point just keep it within yourselves ok let me lose learn peace
62,2022-09-26 13:20:06+00:00,"@CHIEtizensOFC Renewal

#ChieFilomeno",renewal
63,2022-09-26 13:20:05+00:00,@frogmarss its fun fr,its fun fr
64,2022-09-26 13:20:03+00:00,"@xunziart1 Aston Martin, Caterham, Morgan https://t.co/gGxrvLrSEG",aston martin caterham morgan
65,2022-09-26 13:20:02+00:00,https://t.co/7u8p38ugbW,
66,2022-09-26 13:20:01+00:00,新加坡武装部队今年同澳大利亚国防部队人员举行三叉戟演习，两国一共派出超过1600名部队人员参与，新加坡海军也首次出动两艘海军登陆舰。 https://t.co/bAaPuQrjJX,1600
67,2022-09-26 13:20:01+00:00,@harislovesirah Wow nk,wow nk
68,2022-09-26 13:20:00+00:00,@sekaijii :DD,dd
69,2022-09-26 13:19:59+00:00,"They are so cute together😭😭 
#FFFCampingConcert",they are so cute together
70,2022-09-26 13:19:59+00:00,@DerBuddler https://t.co/hnIq3ZC2XB,
71,2022-09-26 13:19:58+00:00,Alterity Therapeutics Announces Presentation of Wearable Sensor Data from the bioMUSE ... https://t.co/Nu1l7EcYpZ,alterity therapeutics announces presentation wearable sensor data biomuse
72,2022-09-26 13:19:57+00:00,Try luck … apa posisi aku aply pn xtw https://t.co/5YeVQCW2FC,try luck apa posisi aku aply pn xtw
