,date,rawContent
67,2022-01-01 23:46:35+00:00,@eldem__ @kofiklu__ The system back home dey try kill them chale. That thing go change you
68,2022-01-01 23:46:26+00:00,@jbonzy https://t.co/lIbglGFtRo
69,2022-01-01 23:46:10+00:00,Professional contract incoming 💡 https://t.co/aWGYFXzhnc
70,2022-01-01 23:45:59+00:00,Just posted a photo @ Adabraka https://t.co/vHg0ZiWAGG
71,2022-01-01 23:45:54+00:00,@JoshTony17 @NURU__1 @_seventhson @shattawalegh Don't mind him.
72,2022-01-01 23:45:54+00:00,Good. Chelsea won trophies without him https://t.co/gjoDJ44bTL
73,2022-01-01 23:45:52+00:00,Sheldon p3 ahokyeky3 #BurnaVsShattaSpace
74,2022-01-01 23:45:37+00:00,😂 😂 Ah Fleeko https://t.co/OwDXEbuK3x
75,2022-01-01 23:45:37+00:00,@terry_gh1 🙏
76,2022-01-01 23:45:28+00:00,Dede hunu nkoaaa https://t.co/V45cMfowro
77,2022-01-01 23:45:23+00:00,@TheRealBOIQ So make I delete and post when boss?
78,2022-01-01 23:45:16+00:00,Proper talent in Ghana and not one show. These are the real issues that need to be addressed. https://t.co/avnKOZLoEi
79,2022-01-01 23:45:14+00:00,Naeto C listening nicely
80,2022-01-01 23:45:03+00:00,"@benjie112 @shattawalegh Wetin concern Jesus?
From his place to his godfather"
81,2022-01-01 23:44:46+00:00,@GhanaSocialU Forgive me… my last one that 😊
82,2022-01-01 23:44:37+00:00,@Crentsil__ Massa you too forget
83,2022-01-01 23:44:28+00:00,"6000 people on the space 
@boobsoverbooks pull crowd pass the moaning competition space 😂😂😂"
84,2022-01-01 23:44:23+00:00,@SomtoSocial Why are you trying to cause fear and panic and instigate something which won’t ever happen. We are brothers and we love each other GH&amp;NGA
85,2022-01-01 23:44:10+00:00,@abenamagis eeii
86,2022-01-01 23:44:05+00:00,@____akos 🤣🤣🤣 seee!
87,2022-01-01 23:43:45+00:00,@lol_nanito Happy New Year
88,2022-01-01 23:43:28+00:00,@i_Bossy__ @OwusuAnsahKof10 No dull moment in Ghana
89,2022-01-01 23:43:26+00:00,@eldem__ Bro! It’s so motivating man
90,2022-01-01 23:42:59+00:00,@obaatanpaGrace Nice one
91,2022-01-01 23:42:51+00:00,"Stop using artificial penis!!!
The original is NOT SOLD!!!"
92,2022-01-01 23:42:24+00:00,It's 3rd Jan but we're in the first day of the year
93,2022-01-01 23:42:03+00:00,@T0bey_ 😭😭😭😭😭😭
94,2022-01-01 23:41:44+00:00,@RashidFrenzy @shattawalegh Lol
95,2022-01-01 23:41:40+00:00,Lmao but what’s up the 22 for back? https://t.co/8kDZlZh3Ct
96,2022-01-01 23:41:38+00:00,Pweedyella for GHAMRO President 🙌🏽
97,2022-01-01 23:41:26+00:00,@Noble_SuGar 🔥 🔥 🔥
98,2022-01-01 23:41:18+00:00,🤣💀 https://t.co/FRsaEUrxs5
99,2022-01-01 23:41:15+00:00,@__xoAY we’re talking about entertainment
