,date,rawContent,cleaned_content
47,2022-09-26 11:44:14+00:00,Difficult circumstances serve as a textbook of life for people,difficult circumstances serve as textbook life people
48,2022-09-26 11:44:13+00:00,@Ikhwan21759524 Thanks!,thanks
49,2022-09-26 11:44:12+00:00,"@filipeswiftie13 @always_selenaaa I think you didn't get the point here. The girl said A man will cheat no matter if the girlfriend perfect or not. It's not about ALL men, it's about a particular man that love to cheat without any solid reason at all",i think you didnt get point here girl said man will cheat no matter if girlfriend perfect or not its not about all men its about particular man that love cheat without any solid reason at all
50,2022-09-26 11:44:10+00:00,@memetan_0705 可愛い,
51,2022-09-26 11:44:09+00:00,"@siki_02242 泣いた。

別にいいけど、いまバイトやから、9時過ぎぐらいに言ってくれや、買って帰る",9
52,2022-09-26 11:44:08+00:00,Up #fnfjb,up
53,2022-09-26 11:44:08+00:00,@alfred_lua @liaujianjie @jovliew @estee_tey @ahrefs @supabase @ReferralCandy @locofy_ai @MobbinDesign @Hypotenuse_Ai @NewsletterGlue @Taskade Thanks for mentioning us in the list! Much appreciated! 🙏,thanks mentioning us list much appreciated
54,2022-09-26 11:44:08+00:00,"@JLyn092885 @CircleQuestSG @AtinSingapore @SB19Official Wow sana all yun nmn Di ko natikman ahahahja
Listen to the latest disco-pop song #WYATSB19 by #SB19  @SB19Official    in all music platforms! It's a bop!",wow sana all yun nmn di ko natikman ahahahja listen latest disco pop song by all music platforms its bop
55,2022-09-26 11:44:07+00:00,porn addict ;|•,porn addict
56,2022-09-26 11:44:06+00:00,"@BoltricArtz Bui! This is really cute Bolt!
Bui like the shiny eyes! Patpat",bui this is really cute bolt bui like shiny eyes patpat
57,2022-09-26 11:44:04+00:00,Alone in the upper deck. #Reflection https://t.co/FtB1McqJpn,alone upper deck
58,2022-09-26 11:44:03+00:00,@mochiemobts gm,gm
59,2022-09-26 11:44:01+00:00,@Bastienjpg Gm and yes Ser 🙏 😄,gm yes ser
60,2022-09-26 11:44:00+00:00,Knapa nk tunggu 7pm tu lama Tapi cpt je da nk 8pm knapa knapa bagaimanaaa why!! Weishamaaaaa #SekaliLagiCintaKembali,knapa nk tunggu 7pm tu lama tapi cpt je da nk 8pm knapa knapa bagaimanaaa why weishamaaaaa
61,2022-09-26 11:44:00+00:00,"🇬🇧 🇬🇧 For the first time in history, our Algorithm sees the sterling pound dropping below parity against the US Dollar. Watch Video: https://t.co/VvZuTrOx5h https://t.co/gZSlwqZx7s",first time history our algorithm sees sterling pound dropping below parity against us dollar watch video
62,2022-09-26 11:44:00+00:00,@ShanghaiDragons No solution for Zarya comps,no solution zarya comps
63,2022-09-26 11:43:57+00:00,@maryammbogo7 @SadickTusia @Gaspinho15 @kalage_jr @INFLUENCERjr @amina_hafidh @WizestFool @anuskills3 @mshambuliaji @mkandamizaji @masoudkipanya @McinikaWaLamar @mudhakiru_dauda habari ya kigoma kwanza!? 😂,habari ya kigoma kwanza
64,2022-09-26 11:43:56+00:00,Global financial firms are reassessing the risks of doing business in China after an escalation of tensions over Taiwan https://t.co/EZiqk2ha2O via @markets,global financial firms are reassessing risks doing business china after escalation tensions over taiwan via
65,2022-09-26 11:43:55+00:00,Episode harini paling kelakar rasanya. Penat lah tergelak dari tadi. Perangai betul dua beradik ni tau 😂 #SekaliLagiCintaKembali,episode harini paling kelakar rasanya penat lah tergelak dari tadi perangai betul dua beradik ni tau
66,2022-09-26 11:43:55+00:00,.,
67,2022-09-26 11:43:55+00:00,HOBI SO CUTE!!!!,hobi so cute
68,2022-09-26 11:43:54+00:00,@Awawat_Trades love to see it https://t.co/UkF9hVChDh,love see it
69,2022-09-26 11:43:53+00:00,@ButterBibi gm,gm
70,2022-09-26 11:43:53+00:00,"अम्मी और दादी जैसे शब्दों का ज्ञान गटर साहब के परिवार में ज्यादा है...पूरा परिवार जुड़ा हुआ था कांग्रेस से...
गटर साहब ने कब कहाँ क्या प्रोटेस्ट किया..?
ट्वीट क्रांतिवीर।।। 😂 https://t.co/mhyuVy5U27",
71,2022-09-26 11:43:52+00:00,@CelineeeeTeo shagsss but i have reservist aft also 😂,shagsss but i have reservist aft also
72,2022-09-26 11:43:51+00:00,@namsomde ไมอามี่่่,
73,2022-09-26 11:43:50+00:00,@puanmaharani_ri https://t.co/lr9MCciZ9t,
74,2022-09-26 11:43:49+00:00,"Hampir je nak bercakap dengan dinding, mana tahu dia response ajak borak",hampir je nak bercakap dengan dinding mana tahu dia response ajak borak
75,2022-09-26 11:43:46+00:00,@GCRClassic Short at the top long at the button,short at top long at button
76,2022-09-26 11:43:46+00:00,https://t.co/HoZBbQXbFc,
77,2022-09-26 11:43:45+00:00,@MattyWTF1 Err Matt this is what we call normal Singapore weather. Just hope the rain doesn’t hit race time.,err matt this is what we call normal singapore weather just hope rain doesn t hit race time
78,2022-09-26 11:43:45+00:00,"Excuse me sir!i think im redi for another series (*_^)

@dunknatachai #dunknatachai 
#dunkmeow https://t.co/adB54pEaO9",excuse me sir i think im redi another series
79,2022-09-26 11:43:43+00:00,@jvnggkuk Oh he’s the coolest,oh he s coolest
80,2022-09-26 11:43:41+00:00,Eee imran tu apahal ek? Jangan harap #hayyat tak dpt kawen ngn #aira ke kau yg tgh mimpi. Mohon la sedar diri ea @aniqshr @Zakiazeman_ @sitikhadjahalim #SekaliLagiCintaKembali #slck #SekaliLagiCintaKembali,eee imran tu apahal ek jangan harap tak dpt kawen ngn ke kau yg tgh mimpi mohon la sedar diri ea
81,2022-09-26 11:43:40+00:00,who is the guy showering in the promo video for black monster shower gel?????,who is guy showering promo video black monster shower gel
82,2022-09-26 11:43:39+00:00,@DJNinjaRoblox https://t.co/bjcejRug7Q,
83,2022-09-26 11:43:38+00:00,@Sheyistrong16 gm,gm
84,2022-09-26 11:43:37+00:00,"@kokokdirgantoro Kalau aku sich nggak,klu mabuk bisa kecing sembarangan di rumah,tentu nggak sadar,makanya sy berhenti minum miras,tau lah di Batam miras sangat mudah di dapat..🤣🤣",kalau aku sich nggak klu mabuk bisa kecing sembarangan di rumah tentu nggak sadar makanya sy berhenti minum miras tau lah di batam miras sangat mudah di dapat
85,2022-09-26 11:43:36+00:00,the outfit made it looked like there were twenty other lady gagas head-bopping to plastic doll w her,outfit made it looked like there were twenty other lady gagas head bopping plastic doll w her
86,2022-09-26 11:43:35+00:00,@puanmaharani_ri https://t.co/CZyVRx5IvM,
87,2022-09-26 11:43:35+00:00,@sharidaaida Comfirm amir ezuan tu. Bet 10 atas meja,comfirm amir ezuan tu bet 10 atas meja
88,2022-09-26 11:43:34+00:00,GANTENG BANGET 🫵🏻🫠 https://t.co/9TV8uw1lCP,ganteng banget
89,2022-09-26 11:43:34+00:00,@syaazanaaaaaa lama noawwww kluarrr,lama noawwww kluarrr
90,2022-09-26 11:43:34+00:00,@A100888 @Alphawolf_1_ Done bismillahirrahmanirrahim rezeki https://t.co/PUKZv7NJ2t,done bismillahirrahmanirrahim rezeki
91,2022-09-26 11:43:34+00:00,@idkforealyo tp hati ngan u,tp hati ngan u
92,2022-09-26 11:43:33+00:00,@alex https://t.co/Y0IDIRoCmb,
93,2022-09-26 11:43:31+00:00,@Queenxspade Check you account,check you account
94,2022-09-26 11:43:30+00:00,Aira pengsan weyhh😭 nasib baik Imran tak boleh jalan. Bagusss. Yess hayyat hero Kami #SekaliLagiCintaKembali,aira pengsan weyhh nasib baik imran tak boleh jalan bagusss yess hayyat hero kami
95,2022-09-26 11:43:30+00:00,"நவராத்திரி நாள்-1 சர்க்கரைப்.பொங்கல்

பத்து நாளைக்கு தினமும் நல்ல சாப்பாடு கிடைக்குமே.😍😍😍 https://t.co/ImDWHl17PS",1
96,2022-09-26 11:43:30+00:00,https://t.co/T8jisezDhE,
97,2022-09-26 11:43:29+00:00,"@WAGACA_JOOONES ん？

その歴史を天皇機関説で利用した事を言ってますが、何でしょうか？",
98,2022-09-26 11:43:29+00:00,Rare community on fintwit that doesn't do just gyaanchodi but actually trades 😂😂.,rare community fintwit that doesnt do just gyaanchodi but actually trades
99,2022-09-26 11:43:28+00:00,"Container spot rate indices have recorded another week of double-digit declines for Asia-Europe and transpacific headhaul container rates, reports The Loadstar.
Further

https://t.co/xQvD2CW0In",container spot rate indices have recorded another week double digit declines asia europe transpacific headhaul container rates reports loadstar further
100,2022-09-26 11:43:26+00:00,"And again the money was used for various CSR initiatives either directly or via his party - not for personal use like in the case of the Abu Dhabi personalities.

So this means that Najib could not have been the mastermind or the shadow of Jho Low - which is . . . .",again money was used various csr initiatives either directly or via his party not personal use like case abu dhabi personalities so this means that najib could not have been mastermind or shadow jho low which is
101,2022-09-26 11:43:26+00:00,Sabar,sabar
102,2022-09-26 11:43:24+00:00,@cremonster @cbltwe_13 @HaleyCarrots 💀a whole kid bruh,whole kid bruh
103,2022-09-26 11:43:24+00:00,@Swixims42 hmmmmmmmm,hmmmmmmmm
104,2022-09-26 11:43:22+00:00,@akram_marikkar gm,gm
105,2022-09-26 11:43:15+00:00,@puanmaharani_ri https://t.co/omhhpnMr20,
106,2022-09-26 11:43:15+00:00,@KhamaliRamohai O nontsoya kae 😂😂😂,o nontsoya kae
107,2022-09-26 11:43:14+00:00,The amount of money I spent on music this month.😭😭😭. Close to music alone 🤦🏾‍♂️,amount money i spent music this month close music alone
108,2022-09-26 11:43:13+00:00,@GiveAwayHost @Totona_io Totono https://t.co/m7V6U9bJKg,totono
109,2022-09-26 11:43:13+00:00,@elonmusk Drop some to Iran please,drop some iran please
110,2022-09-26 11:43:12+00:00,@RemiPromotes Done bismillahirrahmanirrahim,done bismillahirrahmanirrahim
111,2022-09-26 11:43:11+00:00,"@ukraine_map Unlike in the US, in Mordor not much depends on the stock exchange. It can drop another 30% and you know what will happen? Absolutely nothing.",unlike us mordor not much depends stock exchange it can drop another 30 you know what will happen absolutely nothing
112,2022-09-26 11:43:08+00:00,@Emmy_3city Fb?,fb
113,2022-09-26 11:43:06+00:00,@HamideGl18 gm,gm
114,2022-09-26 11:43:06+00:00,@tarahangelicaaa Adooooy,adooooy
115,2022-09-26 11:43:05+00:00,@GCRClassic What goes up must come down,what goes up must come down
116,2022-09-26 11:43:05+00:00,"@edwardoglum Iki gun icinde 15k ile baslayip 23k ile devam ediyorsun patron, hiperenflasyon yok diyenlere gelsin",iki gun icinde 15k ile baslayip 23k ile devam ediyorsun patron hiperenflasyon yok diyenlere gelsin
117,2022-09-26 11:43:04+00:00,Aira da mcm Snow White la.. Prince Charming da dtg tu #SekaliLagiCintaKembali,aira da mcm snow white la prince charming da dtg tu
118,2022-09-26 11:43:04+00:00,Programming in the Apocalypse https://t.co/6WdPJnrMMg,programming apocalypse
119,2022-09-26 11:43:03+00:00,O no Layla is cute.,o no layla is cute
120,2022-09-26 11:43:02+00:00,"Like seriously, no one in the bus notice that? 😭 My brain dropped.",like seriously no one bus notice that my brain dropped
121,2022-09-26 11:43:01+00:00,@Kenneth_Teza @Billy_Apespeare thats a cool one :O,thats cool one o
122,2022-09-26 11:43:00+00:00,#GameFi night just getting started here with @Cryptocom_Cap @XLDFinance @yggsea. Come meet the movers and shakers of GameFi @ Silvermalt SG https://t.co/Q3iZCsK53m,night just getting started here with come meet movers shakers gamefi silvermalt sg
123,2022-09-26 11:43:00+00:00,@aurababy18 Alright thanks😭,alright thanks
124,2022-09-26 11:42:59+00:00,@Kiddo_y00ts Super Nice!,super nice
125,2022-09-26 11:42:59+00:00,@Agenzia_Ansa ma italia è una colonia francese?,ma italia una colonia francese
126,2022-09-26 11:42:59+00:00,@FinalPhantasia uhhhhhh TAAAANK,uhhhhhh taaaank
127,2022-09-26 11:42:59+00:00,blueface is absolutely diabolical,blueface is absolutely diabolical
128,2022-09-26 11:42:58+00:00,@bakedanalyst It should actually be nopat / average of this year’s and last year’s IC. That’s what he does in the worked example in the paper,it should actually be nopat average this year s last year s ic that s what he does worked example paper
129,2022-09-26 11:42:58+00:00,@Viva_Mont gm,gm
130,2022-09-26 11:42:57+00:00,Imran cuba berenang. Nak tengok sikit #SekaliLagiCintaKembali,imran cuba berenang nak tengok sikit
131,2022-09-26 11:42:57+00:00,"Aku tak tahu kenapa, asal ada pic lain jaga mesti cerita tentang kelemahan/kekurangan/bad experience working with "" dekat pic lain. Macam dah banyak sangat pengalaman yg u developed dekat sini kot. Perfectionist.",aku tak tahu kenapa asal ada pic lain jaga mesti cerita tentang kelemahan kekurangan bad experience working with dekat pic lain macam dah banyak sangat pengalaman yg u developed dekat sini kot perfectionist
132,2022-09-26 11:42:55+00:00,@puanmaharani_ri https://t.co/2K15ys6qzo,
133,2022-09-26 11:42:54+00:00,@CFC_John12 🐑,
134,2022-09-26 11:42:51+00:00,"Just finished watching the MV🔥 WOW I love the beat in this song! It is hyped but not too much, it showcases Xiumin vocal range and dance perfectly!💙💙💙not to mention his VISUALS😍 

#Xiumin_BrandNew #XiuminDebut",just finished watching mv wow i love beat this song it is hyped but not too much it showcases xiumin vocal range dance perfectly not mention his visuals
135,2022-09-26 11:42:49+00:00,What is the market cap of your favourite project?,what is market cap your favourite project
136,2022-09-26 11:42:49+00:00,Congratulations to the incredible startups that won @AkzoNobel's @letspaintfuture India startup challenge: HyperReality Technologies and Fluid AI. Their solutions to enhance consumers’ digital experience have joined their accelerator. Read more: https://t.co/7ft9o3AIjd https://t.co/qWlJQlWcPR,congratulations incredible startups that won india startup challenge hyperreality technologies fluid ai their solutions enhance consumers digital experience have joined their accelerator read more
137,2022-09-26 11:42:48+00:00,@puanmaharani_ri https://t.co/IJtltmpdxJ,
138,2022-09-26 11:42:46+00:00,@Predator_4848 @ChusnulCh__ @ganjarpranowo PPP bukannya mayoritas juga dari NU ya?,ppp bukannya mayoritas juga dari nu ya
139,2022-09-26 11:42:45+00:00,@ohyessratii Ayt ayt 😭,ayt ayt
140,2022-09-26 11:42:44+00:00,"しか〜〜〜〜し
そのままゴーーーーーーーーーール!!!",
141,2022-09-26 11:42:44+00:00,Sup ikan mmg sedap 😭,sup ikan mmg sedap
142,2022-09-26 11:42:44+00:00,@kegblgnunfaedh https://t.co/FzK5hKk9pH,
143,2022-09-26 11:42:44+00:00,@thenanaaba gm,gm
144,2022-09-26 11:42:44+00:00,i would too hahhahahaha,i would too hahhahahaha
145,2022-09-26 11:42:43+00:00,@idkforealyo pastry better than u 😞,pastry better than u
146,2022-09-26 11:42:42+00:00,Im 26 but my body is 62 fck,im 26 but my body is 62 fck
147,2022-09-26 11:42:42+00:00,@sy_fxqh hehe,hehe
148,2022-09-26 11:42:42+00:00,Number of available rental homes falls by 40% https://t.co/UyGdCtPm2r #property via @propertyr,number available rental homes falls by 40 via
149,2022-09-26 11:42:40+00:00,"@TitaNikita18 @Chalie_19 @CircleQuestSG @AtinSingapore @SB19Official Lagot hahhahaha

I'm listening to the disco pop sound of the track #WYATSB19 by @SB19Official!

Let's stream #SB19 's song WYAT (Where You At) on every music platform!",lagot hahhahaha im listening disco pop sound track by lets stream s song wyat where you at every music platform
150,2022-09-26 11:42:39+00:00,@Bang_Garr @CryptoKing4Ever Donee wml,donee wml
151,2022-09-26 11:42:34+00:00,"This differs from Najib's case where the funds linked to 1MDB that eventually flowed to Najib's accounts were much less and after deducting the RM2.6b that was returned, the vast majority of the balance was from the RM642mil paid by the Saudi Arabia's Ministry of Finance.",this differs najibs case where funds linked 1mdb that eventually flowed najibs accounts were much less after deducting rm2 6b that was returned vast majority balance was rm642mil paid by saudi arabias ministry finance
152,2022-09-26 11:42:33+00:00,@washedfc @superbalist 🤣🤣🤣🤣🤣,
153,2022-09-26 11:42:29+00:00,liquid udh abis aja 🙃,liquid udh abis aja
154,2022-09-26 11:42:27+00:00,@itoridayo when your hand move faster toahm your brain https://t.co/XzGaUJ5s3X,when your hand move faster toahm your brain
155,2022-09-26 11:42:27+00:00,@Naija_PR gm,gm
156,2022-09-26 11:42:26+00:00,@03karasi https://t.co/bXiqCbq5Kb,
157,2022-09-26 11:42:25+00:00,@GCRClassic Definitely,definitely
158,2022-09-26 11:42:24+00:00,"@payal_trustable Payal, what confirmation did you see here before shorting? What's the TF of this chart?",payal what confirmation did you see here before shorting whats tf this chart
159,2022-09-26 11:42:23+00:00,@Bang_Garr @CryptoFeather_ Bismillahirrahmanirrahim,bismillahirrahmanirrahim
160,2022-09-26 11:42:21+00:00,Is ok i still gt extra,is ok i still gt extra
161,2022-09-26 11:42:20+00:00,Starting at US$1400 https://t.co/m7Jrb3O98K,starting at us 1400
162,2022-09-26 11:42:20+00:00,"Ashok Gahlot is not in the president race 😭😭 

#RajasthanPoliticalCrisis",ashok gahlot is not president race
163,2022-09-26 11:42:19+00:00,"时间会告诉我们，简单的喜欢最长远
平凡中的陪伴最心安，懂你的人最温暖
Time check…..
Looking for food and back to work…..🥺👌👌🥺 https://t.co/LodlXYEqwl",time check looking food back work
164,2022-09-26 11:42:18+00:00,"I'm gonna request that my body be kept in salt so that I stay preserved, like a gherkin. Pickle the shit outta me",im gonna request that my body be kept salt so that i stay preserved like gherkin pickle shit outta me
165,2022-09-26 11:42:17+00:00,"@renchung @BlavatnikSchool Someone get the man a tailor, pronto!",someone get man tailor pronto
166,2022-09-26 11:42:16+00:00,@PingGuo89542028 @squawksquare Hopefully by end of Oct,hopefully by end oct
167,2022-09-26 11:42:15+00:00,@manjaa____ Dapnya 🥺,dapnya
168,2022-09-26 11:42:15+00:00,@CelineeeeTeo well im still in this shithole for another 600 days 🫡,well im still this shithole another 600 days
169,2022-09-26 11:42:15+00:00,@FarooqDawar @CaptIqbalHaidar @iihtishamm @Marriyum_A Wo London hai Pakistan nahi.,wo london hai pakistan nahi
170,2022-09-26 11:42:15+00:00,"@AShinumura @SB19Official Music

I'm listening to the disco pop sound of the track #WYATSB19 by @SB19Official!

Let's stream #SB19 's song WYAT (Where You At) on every music platform!",music im listening disco pop sound track by lets stream s song wyat where you at every music platform
171,2022-09-26 11:42:15+00:00,@yongfook That will be an awesome swag haha,that will be awesome swag haha
172,2022-09-26 11:42:14+00:00,@cara_zeus gm,gm
173,2022-09-26 11:42:14+00:00,POV: woke up with a fever today https://t.co/7hIg6rlWQi,pov woke up with fever today
174,2022-09-26 11:42:12+00:00,@pranoto_adipran Ud https://t.co/XEfG6bnJhR,ud
175,2022-09-26 11:42:12+00:00,@sutanmangara @f1rmanh https://t.co/f7oWxnmk37,
176,2022-09-26 11:42:11+00:00,if u can plan rihanna superbowl setlist what songs would make it,if u can plan rihanna superbowl setlist what songs would make it
177,2022-09-26 11:42:10+00:00,"It's easy to get caught up in the ups and downs of life. But be conscious of how your emotions impact your decisions, and how you might affect others around you.",its easy get caught up ups downs life but be conscious how your emotions impact your decisions how you might affect others around you
178,2022-09-26 11:42:08+00:00,Yeah... this one's hurts....,yeah this ones hurts
179,2022-09-26 11:42:08+00:00,"TT SIA, I LOST ONE OF PERFUME. I FORGET WHERE I PUT ALREADY",tt sia i lost one perfume i forget where i put already
180,2022-09-26 11:42:07+00:00,@tsubasa_450 ありがとう！今日はめちゃくちゃ頑張ったから明日もうちょっとゆっくりできるといいね😌,
181,2022-09-26 11:42:07+00:00,". . . Khadem al-Qubaisi and Aabar CEO Mohamed Badawy Al Husseiny - all of whom took huge amount of money from 1MDB for their own use.

(This would be equivalent to the Chairman and Managing Director of our Khazanah Nasional defrauding another country)",khadem al qubaisi aabar ceo mohamed badawy al husseiny all whom took huge amount money 1mdb their own use this would be equivalent chairman managing director our khazanah nasional defrauding another country
182,2022-09-26 11:42:07+00:00,@karambakkattaan அருத்து போட்ரு,
183,2022-09-26 11:42:06+00:00,@nanaban35017940 饿了😋,
184,2022-09-26 11:42:06+00:00,@cursedkidd @convomfs Aamiin 🤲🤲,aamiin
185,2022-09-26 11:42:06+00:00,"AAAAAAAAAAA APENIII 😭😭😭
TIBE AIRA KENE LEMPANG 😭😭
#SekaliLagiCintaKembali",aaaaaaaaaaa apeniii tibe aira kene lempang
186,2022-09-26 11:42:06+00:00,@Rbxjames1 biiig teardrops,biiig teardrops
187,2022-09-26 11:42:05+00:00,"@rlgxg Gk ah
klo tujuan yg gw kasi gk kesampean ntr malah nyalahin gw
Berabe euy",gk ah klo tujuan yg gw kasi gk kesampean ntr malah nyalahin gw berabe euy
188,2022-09-26 11:42:05+00:00,Gudluck geng D,gudluck geng d
189,2022-09-26 11:42:04+00:00,Take steroid for body building until u get adrenal crisis 👍,take steroid body building until u get adrenal crisis
190,2022-09-26 11:42:03+00:00,@Londeka_Mn Isavela kodwa 🤭,isavela kodwa
191,2022-09-26 11:42:02+00:00,Reels dah siap: boleh ke IG: izzatzin . support lah ye kawan2 ❤️,reels dah siap boleh ke ig izzatzin support lah ye kawan2
192,2022-09-26 11:42:02+00:00,"I think i know why ive been so angsty lately

I havent gymmed in a long while",i think i know why ive been so angsty lately i havent gymmed long while
