,date,rawContent,cleaned_content
39,2022-10-04 12:46:10+00:00,"@HowsMyDrivingNY As of 08:46:09 AM EDT on October 4, 2022:

Violations by year for #NY_KHA7415:

10 | 2021
7   | 2022",as of 084609 am edt on october 4 2022 violations by year for 10 2021 7 2022
40,2022-10-04 12:46:10+00:00,@Pufthwo @JakeSucky He’s legit famous famous my irl issue not gonna concern him much sadly 😢,hes legit famous famous my irl issue not gonna concern him much sadly
41,2022-10-04 12:46:10+00:00,"@HowsMyDrivingNY As of 08:46:09 AM EDT on October 4, 2022:

Parking and camera violation tickets for #NY_KHA7415, cont'd:

1 | Registration Sticker Expired Or Missing
1 | No Standing - Commercial Meter Zone
1 | No Standing - Day/Time Limits",as of 084609 am edt on october 4 2022 parking and camera violation tickets for contd 1 registration sticker expired or missing 1 no standing commercial meter zone 1 no standing daytime limits
42,2022-10-04 12:46:10+00:00,"@HowsMyDrivingNY As of 08:46:09 AM EDT on October 4, 2022:

Total parking and camera violation tickets for #NY_KHA7415: 17

9 | School Zone Speed Camera Violation
2 | Failure To Display Meter Receipt
1 | Bus Lane Violation
1 | No Parking - Street Cleaning
1 | Double Parking",as of 084609 am edt on october 4 2022 total parking and camera violation tickets for 17 9 school zone speed camera violation 2 failure to display meter receipt 1 bus lane violation 1 no parking street cleaning 1 double parking
43,2022-10-04 12:46:10+00:00,$PFE $VYGR - Voyager stock rises as Pfizer opts to use AAV capsid for neurologic disease target https://t.co/CIGf89FkTB,pfe vygr voyager stock rises as pfizer opts to use aav capsid for neurologic disease target
44,2022-10-04 12:46:10+00:00,something about a New York Nigga saying “ayyy B” always makes me laugh,something about a new york nigga saying ayyy b always makes me laugh
45,2022-10-04 12:46:09+00:00,"@eddieelectric @eddieelectric As of 08:46:09 AM EDT on October 4, 2022:

#NY_KHA7415 has been queried 1 time.",as of 084609 am edt on october 4 2022 has been queried 1 time
46,2022-10-04 12:46:09+00:00,@DanartOppai boobies distract from scary hands https://t.co/rQxBJU7Szg,boobies distract from scary hands
47,2022-10-04 12:46:09+00:00,"There are also campus cultures where you ""win"" with flattery, obedience, ideological adherence, memorization, stress, infantilization, disingenuity. It takes a while to create a space where classes can be about the material and people in it rather than a competitive performance.",there are also campus cultures where you win with flattery obedience ideological adherence memorization stress infantilization disingenuity it takes a while to create a space where classes can be about the material and people in it rather than a competitive performance
48,2022-10-04 12:46:09+00:00,😂 https://t.co/DoibHpxSd8,
49,2022-10-04 12:46:09+00:00,@rjcc One of the common refrains from Stadia people is how it represented the future of gaming. They completely ignore better streaming services like GeForce Now and Xbox Cloud Gaming. As if Stadia pioneered this shit lol,one of the common refrains from stadia people is how it represented the future of gaming they completely ignore better streaming services like geforce now and xbox cloud gaming as if stadia pioneered this shit lol
50,2022-10-04 12:46:09+00:00,Diana is #Free for you! just hit me up! #NFTartists #NFTartwork #freenft #NFTProject #NFTGiveaways #NFTCommuntiy #OpenSeaNTF  https://t.co/ga3wBzYzz2 via @opensea https://t.co/8QEjyBguOh,diana is for you just hit me up via
