,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
565,565,2022-09-26 13:12:32+00:00,Jangan biar keraguan menghantui jiwamu~,jangan biar keraguan menghantui jiwamu,0.0
566,566,2022-09-26 13:12:32+00:00,@Jenneira1 @AyamSegar3 Horeee😅😅,horeee,0.0
574,574,2022-09-26 13:12:27+00:00,wilujeng wengi,wilujeng wengi,0.0
575,575,2022-09-26 13:12:27+00:00,@AllShopeeThread Bagus,bagus,0.0
577,577,2022-09-26 13:12:26+00:00,Udah beda kota tapi pikiran tetap ke kota sebelumnya,udah beda kota tapi pikiran tetap ke kota sebelumnya,0.0
582,582,2022-09-26 13:12:23+00:00,@dinulfadli_ Okk Notedd👍,okk notedd,0.0
583,583,2022-09-26 13:12:22+00:00,@mandarinfess Banget,banget,0.0
588,588,2022-09-26 13:12:19+00:00,punten,punten,0.0
621,621,2022-09-26 13:12:01+00:00,@adithbukan Bener:(,bener,0.0
632,632,2022-09-26 13:11:53+00:00,@findingfaye HAHAH https://t.co/ycoSO7rP4L,hahah,0.0
640,640,2022-09-26 13:11:43+00:00,@Missypromotes Thx https://t.co/dQaGPewgOy,thx,0.0
652,652,2022-09-26 13:11:31+00:00,@taegiveaway Starttt https://t.co/QB3ox4PTAl,starttt,0.0
653,653,2022-09-26 13:11:31+00:00,"@gwiyeouncat Tapi nih akun lagi gendeng :(

Yg punya juga sih, lg gendeng skripsot",tapi nih akun lagi gendeng yg punya juga sih lg gendeng skripsot,0.0
656,656,2022-09-26 13:11:27+00:00,@urbby_28 ori nya nyusul. hehe,ori nya nyusul hehe,0.0
668,668,2022-09-26 13:11:17+00:00,@Bang_Garr Nitip https://t.co/4WrPqzyWnD,nitip,0.0
670,670,2022-09-26 13:11:15+00:00,@jtmoazed 图3真的很可爱啊😂,3,0.0
674,674,2022-09-26 13:11:12+00:00,dih😠😠😠😠😠 https://t.co/9JaZKUAFcJ,dih,0.0
713,713,2022-09-26 13:10:40+00:00,"Jika anda berhasrat untuk berjaya, jangan hanya memandang ke tangga tetapi belajarlah untuk menaiki tangga tersebut. #ptphebat #semarang #surabaya",jika anda berhasrat untuk berjaya jangan hanya memandang ke tangga tetapi belajarlah untuk menaiki tangga tersebut,0.0625
718,718,2022-09-26 13:10:33+00:00,Risau esok nk buat bsp,risau esok nk buat bsp,0.0
722,722,2022-09-26 13:10:31+00:00,在整理pnhp的切片合集嘴角傻笑得好酸,pnhp,0.0
732,732,2022-09-26 13:10:24+00:00,"#トランスフォーマー
スピーディアコレクション G2ユニバース シャドウストリップ

発売はされなかったG2カラーのドラッグストリップさんがこちらのサブラインに登場。一応別キャラなのかな...？黒金は御多分に洩れずかっこよいですな https://t.co/JyOXtfPQkY",g2 g2,0.0
733,733,2022-09-26 13:10:24+00:00,@Daikify จริงค่ะคุณกิ้ฟ กองดองอันดับหนึ่ง5555,5555,0.0
765,765,2022-09-26 13:09:50+00:00,@A_LuluJKT48 Shareloc cevat 🤭,shareloc cevat,0.0
766,766,2022-09-26 13:09:49+00:00,@superplastic gm,gm,0.0
774,774,2022-09-26 13:09:44+00:00,"@kasuga1250 @wakuko22223 美味しいよねー♡
実は昨日夜に5粒ほど先に
食べた😋",5,0.0
778,778,2022-09-26 13:09:38+00:00,@rianlovesvb Lavarnnn mhie,lavarnnn mhie,0.0
783,783,2022-09-26 13:09:32+00:00,JDT Jalin Kerjasama Dengan https://t.co/P35jn2BVvX https://t.co/4msMAbsjjL,jdt jalin kerjasama dengan,0.0
793,793,2022-09-26 13:09:19+00:00,@crazywhoopies Chronovoid vandal,chronovoid vandal,0.0
795,795,2022-09-26 13:09:15+00:00,@izzahrzman lovee ijahh🫶🏻,lovee ijahh,0.0
803,803,2022-09-26 13:09:09+00:00,@heyyyitsmeh @FWBESS Suka,suka,0.0
826,826,2022-09-26 13:08:56+00:00,@fauzanhavertz tgh tak rajin,tgh tak rajin,0.0
835,835,2022-09-26 13:08:51+00:00,LFG!!! 🔥🔥🔥🔥,lfg,0.0
839,839,2022-09-26 13:08:49+00:00,@redddFlanaaa_ Maunya sih gtu,maunya sih gtu,0.0
854,854,2022-09-26 13:08:32+00:00,OpenStreetのシェアサイクルのオープンデータもトークン不要になったんだ,openstreet,0.0
863,863,2022-09-26 13:08:23+00:00,@ziqefron kongsi jom,kongsi jom,0.0
879,879,2022-09-26 13:08:10+00:00,@turtle_investor $400?,400,0.0
893,893,2022-09-26 13:07:53+00:00,@yourfathergoop HAHAHAHAHAHA,hahahahahaha,0.0
912,912,2022-09-26 13:07:35+00:00,@bxdinfluence @FWBESS Geret aja,geret aja,0.0
929,929,2022-09-26 13:07:21+00:00,@notyourfafifu xixixxi,xixixxi,0.0
947,947,2022-09-26 13:07:03+00:00,@kangbudz Heran juga ya.Modelan tukang nyabu kok ttp dipertahankn.Dasar partai gombal🤣,heran juga ya modelan tukang nyabu kok ttp dipertahankn dasar partai gombal,0.08333333333333333
949,949,2022-09-26 13:07:01+00:00,$TSLA https://t.co/95WpS09N2e,tsla,0.0
962,962,2022-09-26 13:06:52+00:00,lol,lol,0.0
963,963,2022-09-26 13:06:51+00:00,@Bang_Garr Syaa sering bg tapi langsung syaa DM aja bg bilang jangan retweet RT an syaa,syaa sering bg tapi langsung syaa dm aja bg bilang jangan retweet rt syaa,0.0
964,964,2022-09-26 13:06:50+00:00,@kinstatic @TiniTinTin9 Noooo whhhhhyyyy,noooo whhhhhyyyy,0.0
972,972,2022-09-26 13:06:42+00:00,@furaiah 😂😂😂😂😂😂😂 klakarrrr,klakarrrr,0.0
973,973,2022-09-26 13:06:41+00:00,被虧開廣角秒變190🤭🤣 https://t.co/FsxsZMErih,190,0.0
980,980,2022-09-26 13:06:33+00:00,@GiveAwayHost @BabyGangshi Xxahyuk https://t.co/GouFubuHqw,xxahyuk,0.0
990,990,2022-09-26 13:06:24+00:00,@emerson_yuntho @aniesbaswedan Aamiinnn2 Allahuma aamiinnn 🤲🙏,aamiinnn2 allahuma aamiinnn,0.0
991,991,2022-09-26 13:06:24+00:00,@LosCactusNFT @SacredLabs @poxy_sol LFGGGG #STAYSACRED,lfgggg,0.0
1000,1000,2022-09-26 13:06:17+00:00,bluuuurrr https://t.co/TIX76F56Qp,bluuuurrr,0.0
1003,1003,2022-09-26 13:06:15+00:00,HAHAHAHAHAHAHA,hahahahahahaha,0.0
