,date,content,cleaned_content
29,2022-05-20 08:41:11+00:00,"@suemitch2017 @westbornergirl @SpeakerPelosi @BBCWorld @JoeBiden If the polls in the US are in any way accurate on Autumn upcoming elections, combined with the public ratings of Biden, Harris and the Democrats in general, her relevance will be of little concern.",if polls us are any way accurate autumn upcoming elections combined with public ratings biden harris democrats general her relevance will be little concern
30,2022-05-20 08:41:07+00:00,@BigBarrysDong @MichealMartinTD How many boxing clubs are in the country?,how many boxing clubs are country
31,2022-05-20 08:41:07+00:00,@Ernieivey @Wheatstraw225 @AwoudoyaBenny @duty2warn A carrot doesn't remind anyone of an obnoxious megalomaniac ever time they eat it. Musk chose to rebrand Tesla as MAGA and he'll reap the consequences as people worldwide who detest American Trumpism look to the other 86% of the ev global market.,carrot doesnt remind anyone obnoxious megalomaniac ever time they eat it musk chose rebrand tesla as maga hell reap consequences as people worldwide who detest american trumpism look other 86 ev global market
32,2022-05-20 08:41:05+00:00,@LeighDoris32 Good point. ;-),good point
33,2022-05-20 08:41:04+00:00,The Written Word by @KevPow3 is out now from @LilliputPress. It's very good. Here's my @ReviewIndo review. https://t.co/BX26EsQnNh,written word by is out now its very good heres my review
34,2022-05-20 08:41:03+00:00,@damiennolan80 😂😂😂 the little gew on is great!,little gew is great
35,2022-05-20 08:41:00+00:00,"joguei https://t.co/D8nfhryPMK #138 *6/6 🔥 3

⬛⬛⬛🟨⬛
⬛🟩⬛⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",joguei 6 6 3
36,2022-05-20 08:41:00+00:00,Another superb use of #AutonomousVehicles! https://t.co/vz9hQZZgTK,another superb use
37,2022-05-20 08:40:59+00:00,"@RobTebbutt 1. Spence v Crawford 
2. Fury v usyk 
3. AJ v wilder 
4. Loma v Shakur 
5. Tank v Garcia",1 spence v crawford 2 fury v usyk 3 aj v wilder 4 loma v shakur 5 tank v garcia
38,2022-05-20 08:40:57+00:00,@DaveyHames god such an incredible moment. like you can't write that shit,god such incredible moment like you cant write that shit
39,2022-05-20 08:40:56+00:00,@citizensofvice @RTEPulse @rte Thanks - easily done 👌👌,thanks easily done
40,2022-05-20 08:40:55+00:00,"The Bee Guy: On World Bee Day, let's not just focus on the honey bees (via @thejournal_ie)
⁦@the_beeguy⁩  https://t.co/0Jx276NR4W",bee guy world bee day lets not just focus honey bees via
41,2022-05-20 08:40:55+00:00,@iamyou_1992 Kuripot Presidente natin ✌️,kuripot presidente natin
42,2022-05-20 08:40:53+00:00,"@SmallerFishGAA I'm sure a desire for privacy is an issue, but perhaps proves the point that the potential for scrutiny or abuse are still at the level where being open about who you are is not an option for the vast majority.",im sure desire privacy is issue but perhaps proves point that potential scrutiny or abuse are still at level where being open about who you are is not option vast majority
43,2022-05-20 08:40:52+00:00,@annisapepita Lu aja yg cemen,lu aja yg cemen
