,date,content,cleaned_content
42,2022-05-20 09:27:03+00:00,@Thiets_Oltaht @Maripos19656429 Retweet na lang ng walang link. Bakit Lazada link mo? Kaya na fake news tayo e hahahha 🤣🤣🤣,retweet na lang ng walang link bakit lazada link mo kaya na fake news tayo e hahahha
43,2022-05-20 09:27:03+00:00,@n_jklm Done,done
44,2022-05-20 09:27:03+00:00,"pls help rt po, thank you so much! 

@ENHYPENMARKETPH @ENTXTBENTABLES @ENHYPENMARKE7PH @ENHYPENPapelsRT @enhypenrtph @ENHYPEN_merchRT @ENHABNS @ENHAMARKET @BNSBASKET @BUDOLtingz_rt @ENTXTBENTABLES",pls help rt po thank you so much
45,2022-05-20 09:27:03+00:00,"TRADING my (2) LOWERBOX 203 for your (1) UB/LB ticket from any of these sections (405, 406, 407, 205, 206, 207). #UAAPCDC2022 https://t.co/wZuFaQpVoR",trading my 2 lowerbox 203 your 1 ub lb ticket any these sections 405 406 407 205 206 207
46,2022-05-20 09:27:03+00:00,@markfernando0 when ba,when ba
47,2022-05-20 09:27:02+00:00,Satisfied!!🫶,satisfied
48,2022-05-20 09:27:01+00:00,"Love conquers all

3DAYSto TagumPIE WITH EIAN",love conquers all 3daysto tagumpie with eian
49,2022-05-20 09:27:01+00:00,@TrippinApeNFT @DokRoach  @DwaynePackbeers  @Medin12000,
50,2022-05-20 09:27:01+00:00,"LPU Pirates supports its neighboring schools as they vie for the NCAA Season 97 Men's Basketball Championship! Best of luck, Letran Knights and Mapua Cardinals! Hats off to your hardwork and sportsmanship. Give them a good #BattleOfIntramuros! https://t.co/KjtqG9FH8p",lpu pirates supports its neighboring schools as they vie ncaa season 97 mens basketball championship best luck letran knights mapua cardinals hats off your hardwork sportsmanship give them good
51,2022-05-20 09:27:01+00:00,"いぢめてる様に見えるけど、本当はこっちがいぢめられてる。
叩けど終わらず、、、
これだらかフィリピン🇵🇭の田舎工場はヤなんだよ。 https://t.co/fM585mwpVV",
52,2022-05-20 09:27:00+00:00,neta for my fts (path) means more time to manifest my dream pulls 🕯MANIFESTING VERNON MAGNIFYING GLASS AND WONWOO MILO THATCH🕯 https://t.co/YD5h2R1XNq,neta my fts path means more time manifest my dream pulls manifesting vernon magnifying glass wonwoo milo thatch
53,2022-05-20 09:27:00+00:00,@DebRyanShow @OakParadiseNFT @XRPrincesss @patoc_cindy @Bubbly291,
54,2022-05-20 09:26:59+00:00,"@knmyconstant Milia and tristan

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo | Daniel Padilla",milia tristan 2g2btep6 onnetflix kathryn bernardo daniel padilla
55,2022-05-20 09:26:59+00:00,"😭 how could u be there say ""mahal na mahal kita olly"" im not letting it go ❤ if i can go too https://t.co/NK4LL2ozE5",how could u be there say mahal na mahal kita olly im not letting it go if i can go too
56,2022-05-20 09:26:59+00:00,"pls help rt po, thank you so much! 

@ENHYPENMARKETPH @ENTXTBENTABLES @ENHYPENMARKE7PH @ENHYPENPapelsRT @enhypenrtph @ENHYPEN_merchRT @ENHABNS @ENHAMARKET @BNSBASKET @BUDOLtingz_rt @ENTXTBENTABLES",pls help rt po thank you so much
57,2022-05-20 09:26:59+00:00,@t0xick3l No good. Soma maru tol Ck. Bigalbal,no good soma maru tol ck bigalbal
58,2022-05-20 09:26:57+00:00,"@kndjtrendsetter The royal Loveteam

2G2BTEp6 onNETFLIX
#2Good2Miss",royal loveteam 2g2btep6 onnetflix
59,2022-05-20 09:26:57+00:00,🙂 https://t.co/z8yyRdbN9f,
60,2022-05-20 09:26:56+00:00,"@Trader4lyf Happy Happy Birthday, Sir Tony!",happy happy birthday sir tony
