,date,rawContent,cleaned_content
38,2022-09-26 09:53:21+00:00,"@DtoolsTeam Biggest giveaway ever. We are off to the moon
@c0smicimmigrant @ARauenschwender 
@_TrueVoodoo",biggest giveaway ever we are off moon
39,2022-09-26 09:53:20+00:00,been feeling lonely ever since,been feeling lonely ever since
40,2022-09-26 09:53:18+00:00,"@JoshuaPotash Why am I not surprised that this cop act in this way when the US gov itself behaves the same globally, trying to ""arrest"" other countries it deems ""wrong"".",why am i not surprised that this cop act this way when us gov itself behaves same globally trying arrest other countries it deems wrong
41,2022-09-26 09:53:17+00:00,Ahahhaha .. date na ba to ??,ahahhaha date na ba
42,2022-09-26 09:53:17+00:00,@Awawat_Trades time to bid luna family,time bid luna family
43,2022-09-26 09:53:15+00:00,"While rumors of a coup against Xi Jinping are unconvincing, don’t think there aren’t powerful CCP members unhappy with his monopoly power.",while rumors coup against xi jinping are unconvincing don t think there aren t powerful ccp members unhappy with his monopoly power
44,2022-09-26 09:53:15+00:00,@elonmusk Thank you united nation for everything. 165K for them and human rights.,thank you united nation everything 165k them human rights
45,2022-09-26 09:53:14+00:00,"You're the best eighty six

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty six cardagulan sa pie witheian
46,2022-09-26 09:53:14+00:00,@kinstatic Ahahahaah ty MEOW things,ahahahaah ty meow things
47,2022-09-26 09:53:14+00:00,@ImranRiazKhan Imagine ! https://t.co/o3J2vNr7uK,imagine
48,2022-09-26 09:53:13+00:00,@Megatron9091 🙏🚩,
49,2022-09-26 09:53:12+00:00,How beautiful can a man be !? 🫣 https://t.co/7NvwRSYpTJ,how beautiful can man be
50,2022-09-26 09:53:12+00:00,@JoelCAnih @nocontextdrumar 😂😂😂😂,
51,2022-09-26 09:53:10+00:00,This is such an impactful insights .. do you see your value and make the best of what you truly capable of. https://t.co/kBRhI0vpkI,this is such impactful insights do you see your value make best what you truly capable
52,2022-09-26 09:53:10+00:00,@dienyinacha @Aguocha19 @Africa_Archives What 50bn? In your imagination?,what 50bn your imagination
53,2022-09-26 09:53:09+00:00,@Nurulkjo1 @Nisaa_C_Almeer Aamiin,aamiin
54,2022-09-26 09:53:09+00:00,绝对是人生中最像被雨淋湿的小狗的一天 比打蝴蝶夫人那天更像小狗,
55,2022-09-26 09:53:08+00:00,"@DtoolsTeam Biggest giveaway ever. We are off to the moon
@c0smicimmigrant @ARauenschwender 
@_TrueVoodoo",biggest giveaway ever we are off moon
56,2022-09-26 09:53:06+00:00,"You're the best eigthy five

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eigthy five cardagulan sa pie witheian
57,2022-09-26 09:53:05+00:00,@ZamaKganyago Wow 😂😂😭,wow
58,2022-09-26 09:53:03+00:00,@kindlycoin @0xPolygonNews congrats,congrats
59,2022-09-26 09:53:02+00:00,"You're the best eighty two

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty two cardagulan sa pie witheian
60,2022-09-26 09:53:02+00:00,@vnnmn_ Bg free jealahhh,bg free jealahhh
61,2022-09-26 09:53:02+00:00,Thanks for open my mind about this,thanks open my mind about this
62,2022-09-26 09:53:01+00:00,@TrollFootball Nunez is like a real one,nunez is like real one
63,2022-09-26 09:53:01+00:00,"Hello am here to declare that I am against didney’s decades-long smear campaign against cats 🙃

(srsly tho didney stop making cats evil in your movies :/ )",hello am here declare that i am against didney s decades long smear campaign against cats srsly tho didney stop making cats evil your movies
64,2022-09-26 09:52:58+00:00,@purpIeice Dark red aja ngu bagus,dark red aja ngu bagus
65,2022-09-26 09:52:58+00:00,@Slothdrgn Thanks Junaida Sus,thanks junaida sus
66,2022-09-26 09:52:57+00:00,Rn I'm not the person who i used to be💀,rn im not person who i used be
67,2022-09-26 09:52:56+00:00,"@SuckSickDAO @EtherPOAP Biggest giveaway ever. We are off to the moon
@c0smicimmigrant @ARauenschwender 
@_TrueVoodoo",biggest giveaway ever we are off moon
