,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
7,7,2022-09-26 13:21:02+00:00,New laptop does it mean working non stop ?,new laptop does it mean working non stop,0.875
11,11,2022-09-26 13:20:59+00:00,Wow...the @insta360 X3...really impressive. Luckily I didn't get the Osmo Action. I'm definitely gonna get this to shoot for all my channels BUT...the price...is something that I gotta work on at this time... 😔 #Insta360X3 #actioncamera #vloggingcamera https://t.co/LoHppN0f11,wow x3 really impressive luckily i didnt get osmo action im definitely gonna get this shoot all my channels but price is something that i gotta work at this time,0.8620689655172413
22,22,2022-09-26 13:20:43+00:00,LiSA 『NEW ME』 -MUSiC CLiP- https://t.co/PQUMhZPJ8B via @YouTube,lisa new me music clip via,0.8333333333333334
24,24,2022-09-26 13:20:43+00:00,"#ES 
Rejected at RZ
3680 pivot point here need bulls
3654 next support
A break below this level and 3571 target https://t.co/oYk8sshyBv",rejected at rz 3680 pivot point here need bulls 3654 next support break below this level 3571 target,0.8666666666666667
26,26,2022-09-26 13:20:40+00:00,"""The stuff that dreams are made of."" - The Maltese Falcon, 1941",stuff that dreams are made maltese falcon 1941,0.8571428571428571
34,34,2022-09-26 13:20:31+00:00,Temperature is 39.86085 is higher than 35deg C. Taken on 2022-09-26  9:20 pm,temperature is 39 86085 is higher than 35deg c taken 2022 09 26 9 20 pm,0.875
35,35,2022-09-26 13:20:30+00:00,Laser power is 0.00844 is low. Taken on 2022-09-26  9:20 pm,laser power is 0 00844 is low taken 2022 09 26 9 20 pm,0.8571428571428571
43,43,2022-09-26 13:20:26+00:00,Sonic.exe has stopped working,sonic exe has stopped working,0.8
46,46,2022-09-26 13:20:24+00:00,May Allah ease everything of us,may allah ease everything us,0.8
59,59,2022-09-26 13:20:08+00:00,@melissasbrain Crash is a selective mute aroace. I love him.,crash is selective mute aroace i love him,0.875
60,60,2022-09-26 13:20:06+00:00,"when you’re younger filled with so much enthusiasm, you &amp; your friends would always share dreams &amp; wishes. then, you start growing up &amp; when reality slaps, you notice majority starts withering out to being average. nah, not me. fuck that. i stay true to my aspirations.",when you re younger filled with so much enthusiasm you amp your friends would always share dreams amp wishes then you start growing up amp when reality slaps you notice majority starts withering out being average nah not me fuck that i stay true my aspirations,0.8913043478260869
73,73,2022-09-26 13:19:57+00:00,An uncertain economy threatens startups–but caution and pessimism have no place in the ... https://t.co/b9lhbbvIRD,uncertain economy threatens startups but caution pessimism have no place,0.8
86,86,2022-09-26 13:19:47+00:00,@xDMCAbreachP90 I don't mind Brazil winning it as long as their stinky neighbours don't win,i dont mind brazil winning it as long as their stinky neighbours dont win,0.8571428571428571
89,89,2022-09-26 13:19:44+00:00,yeah this is absolutely terrifying. although you could say that the russian silence after the WH's warning indicates that they take it seriously and won't be using nuclear weapons,yeah this is absolutely terrifying although you could say that russian silence after whs warning indicates that they take it seriously wont be using nuclear weapons,0.8461538461538461
92,92,2022-09-26 13:19:43+00:00,"@AMD  Ryzen 5 7600X looks to be that sweet spot yet again...?! Nice. #AMD #ryzen 

https://t.co/v2rg7tllAg https://t.co/FYrGQKSasP",ryzen 5 7600x looks be that sweet spot yet again nice,0.8888888888888888
94,94,2022-09-26 13:19:43+00:00,"@CGMeifangZhang A made compulsory not to miss, by folks in Belgium. [L]",made compulsory not miss by folks belgium,0.8571428571428571
105,105,2022-09-26 13:19:31+00:00,$BTC will recover back to $20k by the end of this week.,btc will recover back 20k by end this week,0.875
110,110,2022-09-26 13:19:26+00:00,@mrbcyber Most residential buildings in the PRC are of shockingly bad quality.,most residential buildings prc are shockingly bad quality,0.875
115,115,2022-09-26 13:19:23+00:00,get a man who understands your situation without finding ways to gloat his ego and find fault in the tiniest things.,get man who understands your situation without finding ways gloat his ego find fault tiniest things,0.875
