,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
201,201,2022-09-26 13:17:57+00:00,"@vitaminSB19 Tapos lahat kayo magpapicture with FELIP IN ONE FRAME,AWWWWWWW",tapos lahat kayo magpapicture with felip one frame awwwwwww,0.4444444444444444
242,242,2022-09-26 13:17:24+00:00,"Paling best texture dia cair macam toner tapi potency tinggi macam serum.

Kalau kulit korg suka sgt dengan niacinamide atau dah guna brightening ingredient tapi tak menjadi.

Cuba guna dengan essence ni. Just dab dab aja dekat kulit lepas cleanser sebelum moisturizer✨️ https://t.co/iebROKmMKY",paling best texture dia cair macam toner tapi potency tinggi macam serum kalau kulit korg suka sgt dengan niacinamide atau dah guna brightening ingredient tapi tak menjadi cuba guna dengan essence ni just dab dab aja dekat kulit lepas cleanser sebelum moisturizer,0.40476190476190477
292,292,2022-09-26 13:16:39+00:00,@SarangheoZ ok nko sa pkiligin nya ko ng very light kesa sa wla😅,ok nko sa pkiligin nya ko ng very light kesa sa wla,0.4166666666666667
303,303,2022-09-26 13:16:32+00:00,@akimnasir7 Pekkk kata nk share emas elok2 utk investment. Mana mana manaa.,pekkk kata nk share emas elok2 utk investment mana mana manaa,0.4
317,317,2022-09-26 13:16:22+00:00,Un paer solla aasai dan,un paer solla aasai dan,0.4
431,431,2022-09-26 13:14:35+00:00,"“Velli endral Adhu Venice Nagaram dan “by Shiva shankari mam,which made me dream about Europe trip.",velli endral adhu venice nagaram dan by shiva shankari mam which made me dream about europe trip,0.47058823529411764
458,458,2022-09-26 13:14:05+00:00,"Bebal jugak ae tutup laluan nak parking motor. Kereta lain elok je parking, yg kau ?!",bebal jugak ae tutup laluan nak parking motor kereta lain elok je parking yg kau,0.4
492,492,2022-09-26 13:13:37+00:00,"you know what? dalam relay you should be yourself. kalau dia takterima, tu dia punya pasal. i mean hellooo?? kau nak dia, so kau kena terima everything about her/him. why kena ubah disebabkan kau taksuka? kalau macamtu kira fake and percayalah takkan kekal lama😂",you know what dalam relay you should be yourself kalau dia takterima tu dia punya pasal i mean hellooo kau nak dia so kau kena terima everything about her him why kena ubah disebabkan kau taksuka kalau macamtu kira fake percayalah takkan kekal lama,0.45454545454545453
520,520,2022-09-26 13:13:15+00:00,Lupa bulan 10 nak kena renew roadtax motor😩😩,lupa bulan 10 nak kena renew roadtax motor,0.42857142857142855
559,559,2022-09-26 13:12:35+00:00,aku macam tak boleh accept .,aku macam tak boleh accept,0.4
567,567,2022-09-26 13:12:31+00:00,@IndiHomeCare Saya barusan install aplikasi nya,saya barusan install aplikasi nya,0.4
569,569,2022-09-26 13:12:30+00:00,@fm_nusantara Minta Satu lagu palmer Bojo- Gamelawan cover Gamelawan P5PRO radio station jtk,minta satu lagu palmer bojo gamelawan cover gamelawan p5pro radio station jtk,0.45454545454545453
594,594,2022-09-26 13:12:13+00:00,"Susahlah kalau kita kasi nasihat orang tak nak dengar… nanti complain itulah inilah.. memang malas nak layan… gasaklah! Anything happens, it’s NOT going to be my fault. Period.",susahlah kalau kita kasi nasihat orang tak nak dengar nanti complain itulah inilah memang malas nak layan gasaklah anything happens it s not going be my fault period,0.4642857142857143
651,651,2022-09-26 13:11:31+00:00,"@van_hellsick Dulu pas smp badan saya dah setinggi bokap, dapat warisan celana cut bray Dan baju junkies... 😁😁😁",dulu pas smp badan saya dah setinggi bokap dapat warisan celana cut bray dan baju junkies,0.4375
677,677,2022-09-26 13:11:06+00:00,Ni semua salah team yang dapat no4 tu sebab kalah! Hahaha,ni semua salah team yang dapat no4 tu sebab kalah hahaha,0.4
815,815,2022-09-26 13:09:03+00:00,Wow. Nampak  macam 2022 Alfa Romeo Guilia kat Malaysia. Rare sungguh keter ni,wow nampak macam 2022 alfa romeo guilia kat malaysia rare sungguh keter ni,0.4166666666666667
830,830,2022-09-26 13:08:54+00:00,@Ignacio76245046 Hindi maka move on kay Leni 😂,hindi maka move kay leni,0.4
853,853,2022-09-26 13:08:35+00:00,"@bbprimrosee @itishjr Siapa suruh tak main hoki dapat bronze sukma??? Takyah gold pun tau, bronze pun dah boleh. Cepat main hoki sekarang!",siapa suruh tak main hoki dapat bronze sukma takyah gold pun tau bronze pun dah boleh cepat main hoki sekarang,0.45
878,878,2022-09-26 13:08:13+00:00,"@mcflurryreborn @FWBESS Semua tt is acceptable,serius",semua tt is acceptable serius,0.4
910,910,2022-09-26 13:07:36+00:00,"🤯 Descubrir cómo comprar criptomonedas puede ser confuso al principio. Afortunadamente, hay un montón de buenas aplicaciones por ahí. ¡Aquí hay algunas opciones, junto con algunos consejos sobre lo que hay que tener en cuenta!

➡️https://t.co/T315mVJ3RL 

#AlchemyPay #Web3 $ACH",descubrir c mo comprar criptomonedas puede ser confuso al principio afortunadamente hay un mont n de buenas aplicaciones por ah aqu hay algunas opciones junto con algunos consejos sobre lo que hay que tener en cuenta ach,0.43243243243243246
931,931,2022-09-26 13:07:19+00:00,@Midori_nochill Kalau bukan lagi lah smh hahahahaha it better be her!,kalau bukan lagi lah smh hahahahaha it better be her,0.4
940,940,2022-09-26 13:07:11+00:00,"🇸🇬  45% OFF Lazada SG Promo Code [Updated]

#LazMall
#LazadaPromo
#promocode 
#Singapore

https://t.co/WJ48v5gCmG",45 off lazada sg promo code,0.4
